year,sex,nus,ntu,smu,sit,sutd,suss,nie,singapore_polytechnic,ngee_ann_polytechnic,temasek_polytechnic,nanyang_polytechnic,republic_polytechnic,lasalle_diploma,lasalle_degree,nafa_diploma,nafa_degree,ite
2014,MF,26797,23021,7515,3557,886,217,1913,15905,16227,16138,16092,14952,1190,1176,2022,53,28036
2014,F,14042,11623,3883,1482,363,145,1313,6175,7758,7900,8189,7914,773,846,1440,31,10249
2015,MF,27288,23512,7740,4039,1235,489,1549,15297,15611,15425,15842,14690,1173,1262,2106,59,29295
2015,F,14423,11860,4062,1693,522,330,1015,6022,7465,7585,8177,7736,765,905,1483,40,11267
2016,MF,27702,23495,7827,5230,1381,896,1443,14671,14866,14662,15035,13915,1150,1311,2390,50,27519
2016,F,14617,11633,4047,2306,551,609,1010,5766,7243,7115,7661,7343,741,946,1745,31,10346
2017,MF,28134,22934,7979,6138,1545,1451,1122,14298,14599,14239,14734,13566,1241,1330,2537,39,28508
2017,F,14600,11079,4193,2626,603,1011,804,5611,7304,6802,7398,7022,783,987,1830,24,10804
2018,MF,29037,22813,8182,6951,1658,2049,1309,14337,14543,14248,14715,13142,1294,1339,2484,43,28367
2018,F,14981,10896,4486,2905,626,1399,924,5559,7469,6688,7304,6703,842,981,1785,28,10707
2019,MF,30033,23063,8656,7714,1730,2601,1323,14209,14233,14142,14522,12627,1277,1235,2377,50,27968
2019,F,15440,11120,4855,3128,624,1683,948,5520,7431,6718,7175,6364,844,909,1706,32,10658
2020,MF,30420,23758,9144,8201,1406,3153,1206,13568,13637,13535,13968,12225,1231,1168,2312,46,27825
2020,F,15262,11499,5276,3423,518,2014,852,5238,7205,6382,6966,6064,809,868,1644,29,10770
2021,MF,31191,24074,9580,9015,1429,3656,1154,12880,12996,12984,13268,11668,1205,1166,2117,236,27862
2021,F,15693,11352,5512,3725,534,2312,781,4972,6943,6044,6589,5719,787,865,1523,177,10957
